exp_name,exp_dir,timestamp,mode,fusion_method,feature_mode,duration,pretrained_model,best_val_eer,best_val_mindcf,epochs_trained,total_train_time_sec,total_train_loop_time_sec,total_val_time_sec,avg_train_epoch_time_sec,avg_val_epoch_time_sec,gflops_per_sample,gflops_total,peak_gpu_memory_allocated_mb,peak_gpu_memory_reserved_mb,total_params,trainable_params,total_param_memory_mb,trainable_param_memory_mb,includes_pretrained_backbone_params,pretrained_backbone_param_source,pretrained_backbone_params,pretrained_backbone_trainable_params,pretrained_backbone_param_memory_mb,pretrained_backbone_trainable_param_memory_mb
Mode2_HC_train_vi_7s_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_7s_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T02:51:28.192420,2,N/A,fbank_pitch,train_vi_7s,N/A,11.7,0.6286999999999989,16,210.80476110000018,195.74358530000245,14.273636499998247,12.233974081250153,0.8921022812498904,0.0063722940234375,2679.320234270625,8090.32470703125,12084.0,10616640,10616640,40.499267578125,40.499267578125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_7s_mfbe_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_7s_mfbe_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T02:27:49.349695,2,N/A,mfbe_only,train_vi_7s,N/A,10.89,0.6222999999999995,8,106.40612379999948,98.89641620000111,7.155638700001873,12.362052025000139,0.8944548375002341,0.0063722940234375,1339.6601171353125,8092.4423828125,12082.0,10615360,10615360,40.494384765625,40.494384765625,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_7s_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_7s_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T02:40:45.598380,2,N/A,mfbe_pitch,train_vi_7s,N/A,12.670000000000003,0.6675000000000005,11,146.68987449999986,136.30678649999754,9.868002599996544,12.391526045454322,0.8970911454542313,0.0063722940234375,1842.0326610610546,8090.32470703125,12084.0,10616640,10616640,40.499267578125,40.499267578125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_7s_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_7s_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T02:38:11.964012,2,N/A,mfcc_only,train_vi_7s,N/A,11.980000000000002,0.6679999999999994,30,394.4142040000006,366.08341030000156,26.750081800008047,12.202780343333385,0.8916693933336016,0.0063722940234375,5023.725439257421,8060.0966796875,12084.0,10564160,10564160,40.299072265625,40.299072265625,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_7s_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_7s_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T02:42:51.568060,2,N/A,mfcc_pitch,train_vi_7s,N/A,13.219999999999999,0.7120000000000004,9,118.39530719999675,109.84083399999508,8.048178699995333,12.204537111110564,0.8942420777772592,0.0063722940234375,1507.1176317772265,8061.01220703125,12082.0,10565440,10565440,40.303955078125,40.303955078125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_7s_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_7s_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T02:31:31.123457,2,N/A,pitch_only,train_vi_7s,N/A,32.220000000000006,0.9993,17,219.96592710000186,204.37395039999683,14.51802260000477,12.021997082352755,0.8540013294120453,0.0063722940234375,2846.777748912539,8029.86279296875,12082.0,10514240,10514240,40.108642578125,40.108642578125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_fbank_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_fbank_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T22:34:21.091416,2,N/A,fbank_only,train_vi_full,N/A,20.18,0.7630000000000005,14,1745.619551199983,1569.8465926999343,174.72863039994263,112.13189947856674,12.48061645713876,0.0077213130234375,25940.1526105155,9603.0849609375,13648.0,10615360,10615360,40.494384765625,40.494384765625,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T22:58:21.200423,2,N/A,fbank_pitch,train_vi_full,N/A,19.05,0.7382,11,1377.107499500009,1239.4084183000086,136.97154689996387,112.67349257272805,12.451958809087625,0.0077213130234375,20381.54847969075,9605.40478515625,13440.0,10616640,10616640,40.499267578125,40.499267578125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_mfbe_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_mfbe_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T19:46:59.757234,2,N/A,mfbe_only,train_vi_full,N/A,21.36,0.7996000000000004,11,1723.672035800002,1573.0679766999965,149.4882458000502,143.00617969999968,13.58984052727729,0.0077213130234375,20381.54847969075,9603.5517578125,13668.0,10615360,10615360,40.494384765625,40.494384765625,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T21:31:26.913687,2,N/A,mfbe_pitch,train_vi_full,N/A,21.27,0.7993000000000009,11,1842.9503275000025,1687.3826033000369,153.21319079998648,153.39841848182152,13.928471890907861,0.0077213130234375,20381.54847969075,9596.44873046875,13122.0,10616640,10616640,40.499267578125,40.499267578125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T20:55:42.365711,2,N/A,mfcc_only,train_vi_full,N/A,23.380000000000003,0.8061000000000007,14,1646.5471178000153,1484.8408349999809,160.8379716000636,106.06005964285578,11.488426542861687,0.0077213130234375,25940.1526105155,9678.3798828125,13440.0,10564160,10564160,40.299072265625,40.299072265625,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T22:03:56.549683,2,N/A,mfcc_pitch,train_vi_full,N/A,20.330000000000005,0.7897999999999992,15,1762.7738430000027,1591.6340555999195,169.8958852000069,106.10893703999463,11.326392346667125,0.0077213130234375,27793.02065412375,9595.39306640625,13440.0,10565440,10565440,40.303955078125,40.303955078125,False,not_applicable,0,0,0.0,0.0
Mode2_HC_train_vi_full_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode2_HC_train_vi_full_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-02T20:26:02.222511,2,N/A,pitch_only,train_vi_full,N/A,22.470000000000002,0.9969,20,2318.902463700011,2098.9677664999326,218.5030945999897,104.94838832499663,10.925154729999486,0.0077213130234375,37057.360872165,9522.82666015625,13458.0,10514240,10514240,40.108642578125,40.108642578125,False,not_applicable,0,0,0.0,0.0
Mode3_concat_train_raw_hubert_fbank_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode3_concat_train_raw_hubert_fbank_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T11:58:32.869812,3,concat,fbank_only,train_raw,hubert,9.909999999999998,0.447499999999999,10,1409.1139542999954,1315.0891304000033,93.277823299999,131.50891304000032,9.3277823299999,0.0112193310234375,28964.722516588125,9935.45263671875,13948.0,107008833,12328257,408.20630264282227,47.028568267822266,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode3_concat_train_raw_hubert_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode3_concat_train_raw_hubert_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T13:20:00.933408,3,concat,fbank_pitch,train_raw,hubert,9.850000000000001,0.4690000000000009,9,1282.4656714000012,1193.885430800001,87.97116939998523,132.65393675555566,9.774574377776137,0.0112193310234375,26068.25026492931,9942.6826171875,13948.0,107010113,12329537,408.21118545532227,47.033451080322266,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode3_concat_train_raw_hubert_mfbe_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode3_concat_train_raw_hubert_mfbe_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T04:55:35.200945,3,concat,mfbe_only,train_raw,hubert,8.13,0.43600000000000055,10,2437.6576220999996,2305.9859929000086,130.60693589999573,230.59859929000086,13.060693589999573,0.0112193310234375,28964.722516588125,9940.10302734375,13630.0,107008833,12328257,408.20630264282227,47.028568267822266,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode3_concat_train_raw_hubert_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode3_concat_train_raw_hubert_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T09:39:54.010998,3,concat,mfbe_pitch,train_raw,hubert,9.46,0.5066000000000007,8,2065.349918299995,1944.9075243999978,119.77967589999753,243.11344054999972,14.972459487499691,0.0112193310234375,23171.778013270497,9922.9287109375,13946.0,107010113,12329537,408.21118545532227,47.033451080322266,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode3_concat_train_raw_hubert_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode3_concat_train_raw_hubert_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T07:24:19.605862,3,concat,mfcc_only,train_raw,hubert,9.48,0.47350000000000014,10,1362.7691716000045,1275.4975450999918,86.49484359999042,127.54975450999919,8.649484359999041,0.0112193310234375,28964.722516588125,9973.23193359375,13946.0,106957633,12277057,408.01099014282227,46.833255767822266,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
Mode3_concat_train_raw_hubert_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,./outputs\experiments_final\Mode3_concat_train_raw_hubert_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2026-05-04T10:51:08.987765,3,concat,mfcc_pitch,train_raw,hubert,9.350000000000001,0.5043999999999991,8,1104.9314778000044,1030.3858910000054,74.13099880001391,128.79823637500067,9.266374850001739,0.0112193310234375,23171.778013270497,9919.455078125,13944.0,106958913,12278337,408.01587295532227,46.838138580322266,True,estimated_from_precomputed:hubert_base,94680576,0,361.177734375,0.0
