TestSet,Experiment,Mode,Fusion,Feature,PTM,EER (%),MinDCF,Used Pairs,Missing Pairs,Runtime Feature Load (s),Runtime Model Load (s),Runtime Embedding (s),Runtime Score (s),Runtime Total (s),GFLOPs/sample,GFLOPs total,Total Samples Accounted,Peak GPU Memory Allocated (MB),Peak GPU Memory Reserved (MB),Total Params,Trainable Params,Param Memory (MB),Trainable Param Memory (MB)
full_length,Mode3_concat_train_raw_wav2vec2_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,mfcc_only,wav2vec2,5.842994834210324,0.5821907312598387,9895,0,1.7835470999998506,0.1482849000021815,108.64483350000228,0.0003888000210281,110.68124109998462,0.011027334,196.132162524,17786,564.4365234375,926.0,12277057,12277057,46.833255767822266,46.833255767822266
full_length,Mode3_film_train_raw_wav2vec2_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,pitch_only,wav2vec2,5.849707144587557,0.6231969653112401,9895,0,1.427137800026685,0.18737770000007,108.54370809998365,0.0004158000228926,110.27565470000263,0.010505094,186.843601884,17786,558.2509765625,922.0,11966017,11966017,45.646732330322266,45.646732330322266
full_length,Mode1_PTM_train_raw_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,1,,,hubert,5.8902856129228525,0.5825995620039106,9895,0,0.9690846000157762,0.1221298000018578,7.980206500011263,0.0023154999944381,9.357753499993123,0.000816384,14.520205824,17786,22.21240234375,42.0,397057,397057,1.5146522521972656,1.5146522521972656
full_length,Mode3_concat_train_vi_full_hubert_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,fbank_pitch,hubert,5.8902856129228525,0.7126045004641529,9895,0,2.022945000004256,0.1609560000069905,114.15835310000692,0.0003858999989461,116.45260540000164,0.011027334,196.132162524,17786,566.091796875,930.0,12329537,12329537,47.033451080322266,47.033451080322266
full_length,Mode3_film_train_raw_wavlm_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfbe_pitch,wavlm,5.8902856129228525,0.731776022441838,9895,0,2.0772739000385627,0.1706025999737903,112.3189749000012,0.0004027999821119,114.684096699988,0.010505094,186.843601884,17786,562.107421875,924.0,12068417,12068417,46.037357330322266,46.037357330322266
full_length,Mode3_gating_train_vi_full_wavlm_mfcc_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,mfcc_pitch,wavlm,5.930864081258142,0.6760592909407304,9895,0,1.7492819000035524,0.1466713999980129,70.77886970003601,0.00041700003203,72.78456390002975,0.01102887,196.15948182,17786,564.45849609375,926.0,12278337,12278337,46.838138580322266,46.838138580322266
full_length,Mode3_gating_train_raw_wav2vec2_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,mfcc_only,wav2vec2,5.971442549593438,0.6172344249427049,9895,0,1.7688076000194997,0.1523874000413343,78.37399120000191,0.0004300999571569,80.40421529999003,0.01102887,196.15948182,17786,564.4365234375,926.0,12277057,12277057,46.833255767822266,46.833255767822266
full_length,Mode3_gating_train_vi_full_wav2vec2_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,fbank_pitch,wav2vec2,6.012021017928728,0.7341928932494571,9895,0,2.190072600031272,0.1990031999885104,90.82056620001094,0.0005506000015884,93.43286940001416,0.01102887,196.15948182,17786,566.091796875,930.0,12329537,12329537,47.033451080322266,47.033451080322266
full_length,Mode1_PTM_train_vi_5s_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,1,,,hubert,6.045887175886791,0.6517609469110591,9895,0,0.7162899000104517,0.022369999991497,7.201844099996379,0.0004161999968346,7.947925999993458,0.000816384,14.520205824,17786,20.18505859375,22.0,397057,397057,1.5146522521972656,1.5146522521972656
full_length,Mode3_film_train_vi_full_wav2vec2_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,pitch_only,wav2vec2,6.052599486264024,0.7180637547643409,9895,0,1.437338199990336,0.1472153000067919,69.869995200017,0.0003947999794036,71.56015470001148,0.010505094,186.843601884,17786,558.2509765625,922.0,11966017,11966017,45.646732330322266,45.646732330322266
full_length,Mode3_gating_train_vi_full_wavlm_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,fbank_pitch,wavlm,6.052599486264024,0.7486538332561122,9895,0,2.125164399971254,0.1790941000217571,72.53520610003034,0.0004044999950565,74.94665989995701,0.01102887,196.15948182,17786,566.091796875,930.0,12329537,12329537,47.033451080322266,47.033451080322266
full_length,Mode3_gating_train_raw_wavlm_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,mfbe_pitch,wavlm,6.099890264976546,0.7270654404708079,9895,0,2.195415400026832,0.1655871999682858,77.76907939999364,0.0004383000195957,80.23903779999819,0.01102887,196.15948182,17786,566.091796875,928.0,12329537,12329537,47.033451080322266,47.033451080322266
full_length,Mode3_gating_train_vi_full_hubert_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,fbank_pitch,hubert,6.099890264976546,0.7411249590702751,9895,0,2.1047500999993645,0.1863800999708473,79.1340540999663,0.0004952999879606,81.62424999999348,0.01102887,196.15948182,17786,566.091796875,930.0,12329537,12329537,47.033451080322266,47.033451080322266
full_length,Mode3_film_train_vi_3s_hubert_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,pitch_only,hubert,6.140468733311842,0.5857544576491643,9895,0,1.6139880999689922,0.1538322999840602,75.24759700003779,0.000431899970863,77.13268759998027,0.010505094,186.843601884,17786,558.2509765625,922.0,11966017,11966017,45.646732330322266,45.646732330322266
full_length,Mode3_gating_train_raw_wavlm_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,mfcc_only,wavlm,6.167622580892672,0.6739355005698613,9895,0,1.8441140000359155,0.1593697000062093,76.9805161000113,0.0004090999718755,79.09361819998594,0.01102887,196.15948182,17786,564.4365234375,926.0,12277057,12277057,46.833255767822266,46.833255767822266
full_length,Mode3_concat_train_vi_full_wavlm_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,mfcc_only,wavlm,6.174334891269904,0.6953900862194341,9895,0,1.7059344000008425,0.1437648000137414,72.13943650000147,0.0004014000005554,74.09565360000124,0.011027334,196.132162524,17786,564.4365234375,926.0,12277057,12277057,46.833255767822266,46.833255767822266
full_length,Mode3_film_train_raw_hubert_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfbe_pitch,hubert,6.181047201647131,0.600667751393586,9895,0,2.049220999993849,0.1663820999674499,111.96357189997798,0.0003981000045314,114.28679049998756,0.010505094,186.843601884,17786,562.107421875,924.0,12068417,12068417,46.037357330322266,46.037357330322266
full_length,Mode3_film_train_vi_full_wavlm_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,pitch_only,wavlm,6.208201049227962,0.6413373820145427,9895,0,1.4359397999942305,0.1453470999840647,71.37830709997797,0.0003748000017367,73.10230630001752,0.010505094,186.843601884,17786,558.2509765625,922.0,11966017,11966017,45.646732330322266,45.646732330322266
full_length,Mode3_gating_train_raw_wav2vec2_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,pitch_only,wav2vec2,6.296070296275779,0.5801391682025949,9895,0,1.5267782000009902,0.1528501000138931,77.37374090001686,0.0004419999895617,79.16069809999317,0.01102887,196.15948182,17786,562.2353515625,926.0,12227137,12227137,46.642826080322266,46.642826080322266
full_length,Mode3_film_train_raw_hubert_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,pitch_only,hubert,6.296070296275779,0.5971836616547718,9895,0,1.4738677999703214,0.154249700019136,110.0825285000028,0.0003733999910764,111.8179422999965,0.010505094,186.843601884,17786,558.2509765625,922.0,11966017,11966017,45.646732330322266,45.646732330322266
full_length,Mode2_HC_train_raw_fbank_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,2,,fbank_pitch,,6.343361074988309,0.9080117104843868,9895,0,1.5992927000042982,0.1423947000002954,90.69557360000908,0.0003681000089272,92.54445650000709,0.007588998,134.97791842799998,17786,541.2666015625,906.0,10616640,10616640,40.499267578125,40.499267578125
full_length,Mode1_PTM_train_vi_full_hubert_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,1,,,hubert,6.377227232946367,0.6319523317292952,9895,0,0.7179077999899164,0.0188912999874446,7.039474199991673,0.0003836000105366,7.783438700018451,0.000816384,14.520205824,17786,21.98583984375,42.0,397057,397057,1.5146522521972656,1.5146522521972656
full_length,Mode3_film_train_raw_hubert_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfcc_only,hubert,6.417805701281662,0.648233334178546,9895,0,1.759775599988643,0.1860221000388264,111.8177074000123,0.0003812999930232,113.88294040004256,0.010505094,186.843601884,17786,560.4521484375,922.0,12015937,12015937,45.837162017822266,45.837162017822266
full_length,Mode3_concat_train_raw_hubert_mfcc_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,concat,mfcc_only,hubert,6.458384169616957,0.6316050808073254,9895,0,1.795106499979738,0.1695332000090275,72.80581760001951,0.0003862000012304,74.87885169999208,0.011027334,196.132162524,17786,564.4365234375,926.0,12277057,12277057,46.833255767822266,46.833255767822266
full_length,Mode3_gating_train_vi_full_wavlm_pitch_only_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,gating,pitch_only,wavlm,6.492250327575014,0.6710121055392535,9895,0,1.4906036000465974,0.1451419999939389,69.01254610001342,0.0003964999923482,70.75375470001018,0.01102887,196.15948182,17786,562.2353515625,926.0,12227137,12227137,46.642826080322266,46.642826080322266
full_length,Mode3_film_train_vi_full_wavlm_mfbe_pitch_bdrop0p3_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfbe_pitch,wavlm,6.492250327575014,0.7047390228478712,9895,0,2.0893012000015005,0.1678402000106871,74.5971343999845,0.0003993000136688,76.96135680004954,0.010505094,186.843601884,17786,562.107421875,924.0,12068417,12068417,46.037357330322266,46.037357330322266
