exp_name,exp_dir,timestamp,mode,fusion_method,feature_mode,duration,pretrained_model,best_val_eer,best_val_mindcf,epochs_trained,total_train_time_sec,avg_train_epoch_time_sec,avg_val_epoch_time_sec,gflops_per_sample,gflops_total,peak_gpu_memory_allocated_mb,total_params,trainable_params,total_param_memory_mb,trainable_param_memory_mb
Mode3_cross_attention_train_raw_wav2vec2_fbank_pitch,./outputs\experiments_train_raw_w2v2_7hc\Mode3_cross_attention_train_raw_wav2vec2_fbank_pitch,2026-04-24T07:36:19.628704,3,cross_attention,fbank_pitch,train_raw,wav2vec2,8.56,0.47359999999999963,19,153833.34456499998,4878.672235173682,3217.610565747367,35.0987404915625,64025437.665164724,2029.1376953125,107357633,12985921,409.53686904907227,49.537357330322266
Mode3_film_train_raw_wav2vec2_mfcc_pitch,./outputs\experiments_train_raw_w2v2_7hc\Mode3_film_train_raw_wav2vec2_mfcc_pitch,2026-04-21T21:33:30.106309,3,film,mfcc_pitch,train_raw,wav2vec2,9.440000000000001,0.48240000000000016,9,73771.54645190001,4930.452880033327,3266.0812199555544,34.4470648435625,29764744.213506736,2458.59521484375,106125249,11753537,404.83569717407227,44.836185455322266
